t,v,result
0,11.62,0
5,14.31,0.538
10,15.65,0.268
15,16.54,0.178
20,16.54,0
25,15.2,-0.268
30,11.176,-0.805
35,5.81,-1.07
40,0,-1.162
45,3.58,0.716
50,4.47,0.178
55,8.94,0.894
60,9.83,0.178
65,10.73,0.18
70,11.623,0.1786
75,11.623,0
80,11.623,0
85,11.623,0
90,10.73,-0.181
95,0,-2.146
100,0,0
105,0,0
110,5.36,1.072
115,0,-1.072
120,7.15,1.43
