t,v,result
0,0,0
5,6.71,1.342
10,9.83,0.624
15,10.73,0.18
20,10.73,0
25,3.58,-1.43
30,0,-0.716
35,0,0
40,0,0
45,6.71,1.342
50,11.62,0.982
55,12.96,0.268
60,13.41,0.09
65,14.75,0.268
70,14.31,-0.086
75,12.52,-0.358
80,13.41,0.178
85,12.96,-0.09
90,12.96,0
95,12.96,0
100,11.62,-0.268
105,1.788,-1.9664
110,0,0
115,0,0
120,0,0
