Time,PM10 std,PM25 std,PM 100 std,Temperature,Gas,Pressure,Altitude,Relative Humidity
1676506320,0,1,1,24.610078125,5859,1012.2746092162956,8.123961841069194,17.36212647306634
1676506321,0,0,0,24.68234375,7004,1012.2787917557808,8.089112232653608,17.35093849617746
1676506322,0,0,0,24.746015625,7901,1012.2816985454285,8.064892450842335,17.309318595878185
1676506323,0,0,0,24.8122265625,8587,1012.2821522774509,8.061111896641568,17.267835919238838
1676506324,0,0,0,24.862421875,9172,1012.2804148620294,8.075588275250544,17.230512091980177
1676506325,1,1,1,24.8993359375,9698,1012.2795433686692,8.082849682534718,17.157555973445625
1676506325,1,1,1,24.9411328125,10168,1012.2717361960044,8.147900387258018,17.12979159113322
1676506326,1,1,1,24.97765625,10654,1012.2753149518308,8.118081528085202,17.071821542854362
1676506327,0,0,0,24.9977734375,11070,1012.269186993884,8.169140865515482,17.0279796725829
1676506328,0,0,0,25.0180859375,11482,1012.2771150320848,8.103082956866778,16.99911620139607
1676506329,0,0,0,25.03625,11846,1012.2830162041006,8.053913551268106,16.96516190237484
1676506330,0,0,0,25.0430859375,12225,1012.2914876416246,7.983328733166713,16.930630170501647
1676506331,1,1,1,25.0649609375,12562,1012.2901287574034,7.994651052719969,16.89688255888229
1676506332,1,1,1,25.085859375,12917,1012.2870675561727,8.020157243227295,16.88301471320127
1676506332,1,1,1,25.092109375,13201,1012.2825133377274,8.058103496453585,16.863412859179554
1676506333,1,1,1,25.1083203125,13594,1012.2747191655742,8.123045724065271,16.8393459989977
1676506334,1,1,1,25.123359375,13908,1012.2717436577447,8.147838214560757,16.83015959019332
1676506335,0,0,0,25.12609375,14181,1012.273073506411,8.13675765822946,16.805405449884994
1676506336,0,0,0,25.1376171875,14534,1012.2794126642066,8.083938731241243,16.796039992307882
1676506337,0,0,0,25.1489453125,14842,1012.280266098268,8.076827795818428,16.786664825073082
1676506338,0,0,0,25.1473828125,15130,1012.2775461692586,8.099490652680325,16.771652267790486
1676506339,0,0,0,25.1563671875,15441,1012.2846100880438,8.040633123081896,16.767135251290764
1676506339,0,0,0,25.1661328125,15742,1012.2844579629226,8.041900646724896,16.742751998165307
1676506340,0,0,0,25.16203125,15981,1012.2773182518503,8.101389696982407,16.737566263899147
1676506341,0,0,0,25.1692578125,16279,1012.2727459983496,8.139486517652813,16.723008848956496
1676506342,0,0,0,25.1708203125,16522,1012.2651747796622,8.202571550322627,16.713138438897058
1676506343,1,1,1,25.160078125,16786,1012.2636274936526,8.215463919231938,16.69766661475272
1676506344,1,1,1,25.1614453125,17058,1012.2642922160348,8.20992528633142,16.682814938142563
1676506345,1,1,1,25.1704296875,17311,1012.2627796441443,8.222528417356699,16.678299462197398
1676506346,1,1,1,25.16828125,17586,1012.26418540065,8.210815298597451,16.668243659884027
1676506346,1,1,1,25.1770703125,17870,1012.2674781462794,8.183379360737534,16.663718452703872
1676506347,1,1,1,25.1846875,18148,1012.2670155674557,8.187233672889668,16.66410642261969
1676506348,1,1,1,25.1809765625,18338,1012.265701672742,8.198181350778135,16.6291124267333
1676506349,1,1,1,25.18859375,18614,1012.2635237101081,8.216328669912102,16.629499684724706
1676506350,1,1,1,25.195625,18916,1012.2671865093886,8.185809345590012,16.639800784979986
1676506351,1,1,1,25.1923046875,19140,1012.2682679536937,8.176798508706163,16.61974570604555
1676506352,1,1,1,25.19875,19387,1012.2726260502412,8.14048594827526,16.615102153715124
1676506352,1,1,1,25.2065625,19641,1012.2690721948675,8.170097395638091,16.605557341610677
1676506353,1,2,2,25.2016796875,19770,1012.2708645812377,8.15516285653399,16.600338896535447
1676506354,1,2,2,25.2065625,20034,1012.2639263711797,8.212973596668348,16.595616449510942
1676506355,1,2,2,25.2133984375,20325,1012.2655334527851,8.199582999613327,16.586023206642928
1676506356,1,2,2,25.2087109375,20443,1012.264235440848,8.210398351254733,16.580815683285213
1676506357,1,2,2,25.2133984375,20725,1012.260387574852,8.242459774002315,16.58105342004843
1676506358,1,2,2,25.2200390625,20953,1012.2565085345661,8.274781048943247,16.58139023325012
1676506358,1,2,2,25.2149609375,21121,1012.2613919807663,8.234090792522178,16.58113266816163
1676506359,1,2,2,25.2200390625,21401,1012.2633697755024,8.217611292018104,16.57642057108812
1676506360,1,2,2,25.2278515625,21599,1012.264960937733,8.20435333310296,16.58178651327529
1676506361,1,2,2,25.2219921875,21778,1012.265054074892,8.20357729168569,16.586459204187157
1676506362,1,2,2,25.2200390625,21983,1012.2668003965751,8.189026526176933,16.596300510150993
1676506363,1,2,2,25.2266796875,22215,1012.2680671687277,8.17847149355917,16.59663761808422
1676506364,1,3,3,25.2149609375,22405,1012.2631072775496,8.219798491782782,16.586102476081848
1676506365,1,3,3,25.2137890625,22597,1012.2696439694384,8.165333247683094,16.586043023884248
1676506366,1,3,3,25.214375,22818,1012.2638026839952,8.214004189257636,16.581102949971207
1676506366,1,3,3,25.205,22993,1012.2680677242288,8.178466864998287,16.590567042095355
1676506367,1,3,3,25.2063671875,23170,1012.2704475013168,8.158638051985424,16.585666509798266
1676506368,1,3,3,25.2071484375,23403,1012.2666615459431,8.19018346175717,16.585706141517925
1676506369,0,2,2,25.19953125,23663,1012.2534028700214,8.30065840793891,16.58035014837765
1676506370,0,2,2,25.20109375,23811,1012.2561225934701,8.27799682620443,16.590368837689226
1676506371,0,2,2,25.203828125,24001,1012.259166848781,8.252631202530203,16.58056805290841
1676506372,0,2,2,25.1966015625,24194,1012.2603101258059,8.243105100658125,16.560325503863485
1676506373,0,2,2,25.1997265625,24404,1012.2674648827265,8.18348987566012,16.565452543334803
1676506374,0,2,2,25.2034375,24633,1012.2687785138475,8.172544409522475,16.555703215843405
1676506375,0,2,2,25.1981640625,24778,1012.2681756309701,8.177567762074393,16.56040465311045
1676506376,0,2,2,25.201875,24955,1012.2626282410797,8.2237899467733,16.55562408366387
1676506376,0,2,2,25.2071484375,25133,1012.2563698909177,8.275936269398438,16.545954553166514
1676506377,0,2,2,25.2012890625,25239,1012.2496015204315,8.33233251772877,16.540690061957875
1676506378,0,2,2,25.2126171875,25561,1012.2470206946673,8.353836871725886,16.531327866032537
1676506379,0,2,2,25.2175,25717,1012.2572349783704,8.268728103422164,16.526607375308366
1676506380,0,1,1,25.216328125,25891,1012.2517646176774,8.314308859835112,16.531515574335423
1676506381,0,1,1,25.227265625,26100,1012.2553644127987,8.284314218431987,16.51716667600256
1676506382,0,1,1,25.2290234375,26263,1012.2549933528165,8.287406004591212,16.507321768080473
1676506383,0,1,1,25.220625,26362,1012.2489518551557,8.337745754636515,16.506897483008846
1676506384,0,1,1,25.222578125,26561,1012.254066739356,8.295126837600554,16.497063424202654
1676506384,0,1,1,25.225703125,26747,1012.2577907391252,8.264097342131105,16.48232360653093
1676506385,0,1,1,25.2247265625,26901,1012.259521596954,8.249675341241625,16.48723997737831
1676506386,0,1,1,25.2356640625,27109,1012.2579751039838,8.262561160618304,16.48282617837438
1676506387,0,1,1,25.2403515625,27250,1012.26098792192,8.237457519204144,16.49299462191479
1676506388,0,1,1,25.2378125,27374,1012.2548531718514,8.28857403584754,16.492866435051244
1676506389,0,1,1,25.246796875,27607,1012.2584833529814,8.258326283623472,16.478422210551308
1676506390,0,1,1,25.256171875,27771,1012.2627931711378,8.222415706964007,16.483861045821673
1676506391,0,1,1,25.251875,27919,1012.2621758925047,8.227559032770817,16.473712822559417
1676506391,0,1,1,25.259296875,28086,1012.2682323541619,8.177095131877657,16.484018758902906
1676506392,0,1,1,25.2669140625,28275,1012.2711977858252,8.152386528398802,16.474471418767557
1676506393,0,1,1,25.255,28294,1012.2676150962267,8.182238262847426,16.473870443370252
1676506394,0,1,1,25.2606640625,28544,1012.2620349034244,8.22873379074297,16.479121844390246
1676506395,0,1,1,25.2676953125,28758,1012.2639803852153,8.212523538230464,16.479476626089074
1676506396,0,1,1,25.26125,28857,1012.2579084824908,8.263116270204439,16.449360383428115
1676506397,0,1,1,25.2665234375,29056,1012.2567944121987,8.272399031185397,16.46452079759591
1676506398,0,1,1,25.2727734375,29157,1012.2625262580575,8.224639695724875,16.45490569411386
1676506398,0,2,2,25.2645703125,29319,1012.2619721290664,8.229256843188729,16.444563181427892
1676506399,0,2,2,25.2692578125,29504,1012.2632690620761,8.218450461866684,16.43983494842962
1676506400,0,2,2,25.27375,29713,1012.2728032446969,8.139009530155125,16.43013303794588
1676506401,0,2,2,25.2587109375,29776,1012.2706433350297,8.157006325174907,16.424412714719345
1676506402,0,2,2,25.254609375,29882,1012.2635043891255,8.21648965722024,16.41924313875662
1676506403,0,2,2,25.251484375,30095,1012.2683575713993,8.176051794200683,16.414122993748286
1676506404,0,2,2,25.238203125,30138,1012.2658252301283,8.197151841264859,16.38864450200617
1676506405,0,2,2,25.2352734375,30312,1012.2641565998223,8.211055274243215,16.398421048150446
1676506405,0,2,2,25.234296875,30532,1012.2607414703813,8.239511020057709,16.398372001069966
1676506406,0,1,1,25.2243359375,30554,1012.2674182896642,8.18387809961438,16.387948437238474
1676506407,0,1,1,25.2251171875,30755,1012.268778134434,8.172547570879932,16.3879876495388
1676506408,0,1,1,25.2258984375,30936,1012.2649920007642,8.204094508376253,16.383065507660806
1676506409,0,2,2,25.2173046875,30891,1012.2568950181306,8.271560752666566,16.38759554059288
1676506410,0,2,2,25.2184765625,31028,1012.2589347801678,8.254564863765587,16.397577506403515
1676506411,0,2,2,25.2212109375,31258,1012.261978916964,8.229200284640942,16.412601269544485
1676506412,0,2,2,25.2137890625,31398,1012.2662133814755,8.193917672628348,16.39734212519009
1676506413,0,2,2,25.2169140625,31398,1012.2785140277911,8.091426304429104,16.40742301381107
1676506414,0,2,2,25.2200390625,31634,1012.2788075735042,8.088980436996415,16.412542373533974
1676506415,0,2,2,25.213203125,31682,1012.2789158297487,8.08807842968262,16.417161299031626
1676506415,0,2,2,25.214765625,31850,1012.2799202825213,8.079709181805107,16.417239843064124
